[14-Mar-2025 00:38:43 UTC] PHP Warning:  Undefined array key "host" in /workspaces/Lab6/.wordpress/wp-includes/pluggable.php on line 1625
[21-Mar-2025 01:53:31 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:31 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:32 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 01:53:34 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:53:37 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:53:41 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 92
[21-Mar-2025 01:53:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:53:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:53:44 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 20480 bytes) in /workspaces/Assignment2/.wordpress/wp-admin/includes/plugin.php on line 2164
[21-Mar-2025 01:54:06 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 188416 bytes) in /workspaces/Assignment2/.wordpress/wp-includes/class-wp-block-metadata-registry.php on line 173
[21-Mar-2025 01:54:06 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 32768 bytes) in /workspaces/Assignment2/.wordpress/wp-admin/includes/plugin.php on line 1550
[21-Mar-2025 01:54:09 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:10 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:54:10 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:10 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:54:11 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:54:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:54:14 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:14 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:14 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 50
[21-Mar-2025 01:54:15 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1745
[21-Mar-2025 01:54:20 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1745
[21-Mar-2025 01:54:22 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1745
[21-Mar-2025 01:54:22 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1745
[21-Mar-2025 01:54:23 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 1745
[21-Mar-2025 01:54:23 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 58
[21-Mar-2025 01:54:28 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 58
[21-Mar-2025 01:54:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 58
[21-Mar-2025 01:54:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[21-Mar-2025 01:54:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 304
[21-Mar-2025 01:54:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-functions.php on line 86
[21-Mar-2025 01:54:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 43
[21-Mar-2025 01:54:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 709
[21-Mar-2025 01:54:33 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/functions/functions.php on line 709
[21-Mar-2025 01:54:35 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 43
[21-Mar-2025 01:54:38 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 37
[21-Mar-2025 01:54:43 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/ext-comp/index.php on line 37
[21-Mar-2025 01:59:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 32768 bytes) in /workspaces/Assignment2/.wordpress/wp-includes/blocks/blocks-json.php on line 1092
[21-Mar-2025 01:59:47 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 94208 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/tracking.php on line 507
[21-Mar-2025 02:00:48 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:16:07 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:19:45 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:19:59 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 92
[21-Mar-2025 02:22:30 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:22:47 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:30:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
[21-Mar-2025 02:51:42 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 113
